term	ukr	description	examples
case	відмінок		
nominative	називний		
genitive	родовий		
dative	давальний		
accusative	знахідний		
instrumental	орудний		
locative	місцевий		
vocative	клична форма		
gender	рід		
masculine	чоловічий		
feminine	жіночий		
neuter	середній		
common	загальний		
number	число		
singular	однина		
plural	множина		
animacy			
animate	живе		
inanimate	неживе		
numeral	числівник		
cardianl	кількісний		
ordinal	порядковий		
integer	ціле		
fractional	дробове		
decimal	десяткове дробове		